Unnamed: 0,Title,Year,Run Time,Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description,Storyline,Plot Keywords
2499,The Accountant,2016,128,7.3,310025,51,86260000,"['Action', ' Thriller']",R,"[""Gavin O'Connor""]","['Ben Affleck', 'Anna Kendrick', 'J.K. Simmons', 'Jon Bernthal']","['As', 'a', 'math', 'savant', 'uncooks', 'the', 'books', 'for', 'a', 'new', 'client,', 'the', 'Treasury', 'Department', 'closes', 'in', 'on', 'his', 'activities,', 'and', 'the', 'body', 'count', 'starts', 'to', 'rise.']",,"autism, accountant, autistic child, assassin, brother brother relationship, sniper, autistic son, training, father, money, numbers, brother, forced suicide, loner, troubled childhood, violence, father son relationship, father figure, gunshot, bullet, blood, punching a hole in a wall, gun, fistfight, mixed martial arts, martial arts, gunfight, shootout, two word title, death of mother, title spoken by character, middle finger, raised middle finger, pc, computer, nitrile gloves, reference to jackson pollock, plot twist, profanity, swearing, reference to eliot ness, younger version of character, autism spectrum disorder, knocked unconscious, the white house washington d.c., washington monument washington d.c., woman in jeopardy, brother versus brother, aerial camera shot, man wears eyeglasses"
2500,Jerry Maguire,1996,139,7.3,280217,77,153950000,"['Comedy', ' Drama', ' Romance']",R,['Cameron Crowe'],"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger', 'Kelly Preston']","['When', 'a', 'sports', 'agent', 'has', 'a', 'moral', 'epiphany', 'and', 'is', 'fired', 'for', 'expressing', 'it,', 'he', 'decides', 'to', 'put', 'his', 'new', 'philosophy', 'to', 'the', 'test', 'as', 'an', 'independent', 'agent', 'with', 'the', 'only', 'athlete', 'who', 'stays', 'with', 'him', 'and', 'his', 'former', 'colleague.']",,"agent, sports agent, football, football player, single mother, idealism, starting over, reference to shaquille o'neal, reference to audrey hepburn, cheerleader, black man, liar, boy wears eyeglasses, male pubic hair, pubic hair, shower, horoscope, zodiac sign, telephone call, motor vehicle, car, japanese car, toyota, toyota motor vehicle, toyota camry, american football sport, tearjerker romance, male rear nudity, male star appears nude, male protagonist, fiance fiancee relationship, cigar smoking, obscene finger gesture, raised middle finger, lighting a cigar, asking someone out on a date, 1990s, 20th century, home video, manic pixie dream boy, domestic drama, workplace drama, feel good romance, brief male nudity, brief male frontal nudity, reference to a zodiac sign, reference to pisces the astrological sign, romantic comedy, client, career"
2501,Enemy of the State,1998,132,7.3,253925,67,111550000,"['Action', ' Thriller']",R,['Tony Scott'],"['Will Smith', 'Gene Hackman', 'Jon Voight', 'Lisa Bonet']","['A', 'lawyer', 'becomes', 'targeted', 'by', 'a', 'corrupt', 'politician', 'and', 'his', 'N.S.A.', 'goons', 'when', 'he', 'accidentally', 'receives', 'key', 'evidence', 'to', 'a', 'politically', 'motivated', 'crime.']",,"on the run, conspiracy, nsa, surveillance, national security agency, political corruption, political cover up, distrust of government, government corruption, congressman, surveillance camera, political conspiracy, shootout, political thriller, mafia, conspiracy theorist, fugitive, frame up, original story, lawyer, murder, evidence, fire, satellite, employee dismissal, restaurant, computer cracker, witness, gangster, husband wife relationship, gunfight, ethnic slur, freight train, tunnel chase scene, cover up, recording the villain, exploding building, echelon, videotape, disbelieving authorities, privacy, gadget, corruption, confrontation, suspense, paranoia, intelligence, marriage, video footage, wiretap"
2502,Cha Cha Real Smooth,2022,107,7.3,24334,69,,"['Comedy', ' Drama']",R,['Cooper Raiff'],"['Cooper Raiff', 'Dakota Johnson', 'Evan Assante', 'Vanessa Burghardt']","['A', 'young', 'man', 'who', 'works', 'as', 'a', 'Bar', 'Mitzvah', 'party', 'host', 'strikes', 'up', 'a', 'friendship', 'with', 'a', 'mother', 'and', 'her', 'autistic', 'daughter.']",,"friendship, party, jewish family, miscarriage, life after college, bullying, autistic teenager, title refers to a song lyric, bar mitzvah, bat mitzvah, jewish, brother brother relationship, disc jockey, dance floor, title directed by star, mother daughter relationship, sitter, uber, college graduate, reference to barcelona, instagram, soma cube puzzle, lawyer, engagement, fast food restaurant, adult son lives with his parents, bipolar disorder, stepfather, drunk, vodka in a water bottle, shower, hamster, pick up from school, rainstorm, potato masher, bedtime routine, sex scene, used condom, high school, dance floor fight, nightclub, text message, falling asleep on the couch, reference to chicago, wedding ceremony, black eye, family argument, card game, bet, clown costume"
2503,The Edge of Seventeen,2016,104,7.3,136426,77,14430000,"['Comedy', ' Drama']",R,['Kelly Fremon Craig'],"['Hailee Steinfeld', 'Haley Lu Richardson', 'Blake Jenner', 'Kyra Sedgwick']","['High-school', 'life', 'gets', 'even', 'more', 'unbearable', 'for', 'Nadine', 'when', 'her', 'best', 'friend,', 'Krista,', 'starts', 'dating', 'her', 'older', 'brother.']",,"adolescence, coming of age film, high school, depressed teen, suicide talk, female protagonist, title directed by female, interrupted sex, avoid run on sentences advice, teenage girl, teenage love, teen romance, teen angst, teen dating, teen love, teen sexuality, best friend, schoolgirl, female bully, teen sex, passionate kissing, swimming pool, underage drinking, teen movie, teenager, f rated, four word title, triple f rated, beer pong, tcby, dead parent, girl in a shower, troubled teen, teen drinking, teen bedroom, girl wears a swimsuit, swimsuit, talking to oneself in a mirror, kiss, kiss on the lips, dead father, crawling on the floor, friendship, friendship between girls, sex with best friend's brother, asian boy, high school teacher, history teacher, sex with friend's brother, car theft"
2504,Suspiria,1977,92,7.3,100861,79,,['Horror'],R,['Dario Argento'],"['Jessica Harper', 'Stefania Casini', 'Flavio Bucci', 'Miguel Bosé']","['An', 'American', 'newcomer', 'to', 'a', 'prestigious', 'German', 'ballet', 'academy', 'comes', 'to', 'realize', 'that', 'the', 'school', 'is', 'a', 'front', 'for', 'something', 'sinister', 'amid', 'a', 'series', 'of', 'grisly', 'murders.']",,"1970s, actress plays three characters, witches' coven, telepathy, good versus evil, mysterious disappearance, triple role, dance recital, intestines, academy, strange noise, spiritualism, bloodbath, witch, coven, witchcraft, mysterious event, fake credits, mirror room, dancing in front of a mirror, broken leg, compound fracture, secret room, stabbed in the neck, psychiatrist, rotting corpse, urinating in fear, ritual sacrifice, dance ritual, dance rehearsal, dance studio, female full frontal nudity, murder of a student, dancer, ballerina, american abroad, barefoot, dance company, berlin germany, soul transference, macabre, actress playing male role, curse, dead woman, woman in jeopardy, ballet dancer, supernatural murder, dark secret, abuse of power, occult"
2505,Old Henry,2021,99,7.3,33081,69,,"['Action', ' Drama', ' Western']",Not Rated,['Potsy Ponciroli'],"['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis', 'Trace Adkins']","['An', 'action', 'western', 'about', 'a', 'farmer', 'who', 'takes', 'in', 'an', 'injured', 'man', 'with', 'a', 'satchel', 'of', 'cash.', 'When', 'a', 'posse', 'comes', 'for', 'the', 'money,', 'he', 'must', 'decide', 'who', 'to', 'trust.', 'Defending', 'a', 'siege,', 'he', 'reveals', 'a', 'gunslinging', 'talent', 'calling', 'his', 'true', 'identity', 'into', 'question.']",,"farmer, fake lawman, hidden loot, gunfight, violence, murder, murder by gunshot, hanged man, hanged body, hanged from a tree, oklahoma territory, year 1906, 1900s, family relationships, father son relationship, confronting a thief, money bag, stolen money, murder for money, band of outlaws, gang of outlaws, helping a wounded man, money cache, ammunition cache, secret cache, gun cache, arms cache, weapons cache, cache in a wall, childhood flashback, bird hunting, horseback riding, bank robbery, ex gunslinger, murder by strangulation, rural setting, theft, wounded man, blood, shooting, woods, running man, chase, gunfire, rifle, gun, subjective camera, man stomps on a man, man with a beard, dragged by a rope"
2506,Beverly Hills Cop,1984,105,7.3,194751,66,234760000,"['Action', ' Comedy', ' Crime']",R,['Martin Brest'],"['Eddie Murphy', 'Judge Reinhold', 'John Ashton', 'Lisa Eilbacher']","['A', 'freewheeling', 'Detroit', 'cop', 'pursuing', 'a', 'murder', 'investigation', 'finds', 'himself', 'dealing', 'with', 'the', 'very', 'different', 'culture', 'of', 'Beverly', 'Hills.']",,"police brutality, strip club, thrown through a window, stripper, death of friend, profanity, murder, beverly hills california, drugs, female nudity, police shootout, drug dealer, death, violence, drunkenness, shootout, drug smuggling, cocaine, african american protagonist, black cop, michigan, los angeles california, california, lifting someone into the air, cigarette, organized crime, city in title, criminal, black, illegal substance, american police officer, sunglasses, crime lord, culture clash, police officer, police detective, police car, police vigilantism, final showdown, scene during opening credits, opening action scene, car truck chase, truck driver, exploding car, wrongful arrest, restaurant, reference to michael jackson, hotel room, f word, police action"
2507,The Secret Life of Walter Mitty,2013,114,7.3,330894,54,58240000,"['Adventure', ' Comedy', ' Drama']",PG,['Ben Stiller'],"['Ben Stiller', 'Kristen Wiig', 'Jon Daly', 'Kathryn Hahn']","['When', 'both', 'he', 'and', 'a', 'colleague', 'are', 'about', 'to', 'lose', 'their', 'job,', 'Walter', 'takes', 'action', 'by', 'embarking', 'on', 'an', 'adventure', 'more', 'extraordinary', 'than', 'anything', 'he', 'ever', 'imagined.']",,"life magazine, daydream, magazine, photographer, remake, based on short story, x rayed skeleton, fantasy sequence, snow leopard, iceland, new york city, greenland, flock of birds, bell 47 helicopter with pontoons, reference to benjamin button, sculpture, stretch armstrong, reference to eharmony, waiting for a train, crashing through a window, building explosion, airport, himalaya, himalayas, volcanic eruption, volcano, bicycle, sea, boat, shark, jumping from a helicopter, helicopter, drunk, song, bar, skateboard, piano, cake, birthday, dating website, photojournalism, photojournalist, photograph negative, photograph, dreamer, directed by star, character name in title, firm, company, organization"
2508,The Next Three Days,2010,133,7.3,202628,52,21150000,"['Action', ' Crime', ' Drama']",PG-13,['Paul Haggis'],"['Russell Crowe', 'Elizabeth Banks', 'Liam Neeson', 'Michael Buie']","['A', 'married', ""couple's"", 'life', 'is', 'turned', 'upside', 'down', 'when', 'the', 'wife', 'is', 'accused', 'of', 'a', 'murder.']",,"murder, planning, fire, escape artist, cash, passport, lawyer, prison visit, attempted suicide, forged document, innocent, trash bag, dumpster, female doctor, doctor, kiss, handcuffs, robbery, brother brother relationship, venezuela, fugitive, zoo, father son relationship, male protagonist, passionate kiss, lionsgate, psychological drama, psychological thriller, 2000s, 21st century, evidence, argument, escape, appeal, blood stain, witness, community college, county jail, in medias res, neo noir, train station, jersey the garment, four word title, coincidence, no title at beginning, camera, female convict, miscarriage of justice, wrongful conviction, missing evidence"
